year,l1,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,occupation_x,occupation_y,l4,l3,l2,l0
2011,Architecture and engineering occupations,2493,15819,2178,15538,315,0,"Architects, except naval","Architects, except naval",Total,"Management, professional, and related occupations",Professional and related occupations,"Architects, except naval"
2011,"Arts, design, entertainment, sports, and media occupations",1464,8481,853,4899,613,2595,Artists and related workers,Artists and related workers,Total,"Management, professional, and related occupations",Professional and related occupations,Artists and related workers
2011,Building and grounds cleaning and maintenance occupations,3339,3331,2212,3547,1129,1298,First-line supervisors of housekeeping and janitorial workers,First-line supervisors of housekeeping and janitorial workers,Total,Service occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers
2011,Business and financial operations occupations,5170,24949,2223,17056,2944,13124,"Agents and business managers of artists, performers, and athletes","Agents and business managers of artists, performers, and athletes",Total,"Management, professional, and related occupations","Management, business, and financial operations occupations","Agents and business managers of artists, performers, and athletes"
2011,Community and social service occupations,1932,5339,729,2737,1202,3092,Counselors,Counselors,Total,"Management, professional, and related occupations",Professional and related occupations,Counselors
2011,Computer and mathematical occupations,3481,13848,2634,14630,848,7696,Computer and information research scientists,Computer and information research scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and information research scientists
2011,Construction and extraction occupations,5032,13019,4937,12572,94,0,First-line supervisors of construction trades and extraction workers,First-line supervisors of construction trades and extraction workers,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,First-line supervisors of construction trades and extraction workers
2011,"Education, training, and library occupations",6519,7886,1749,5501,4770,7555,Postsecondary teachers,Postsecondary teachers,Total,"Management, professional, and related occupations",Professional and related occupations,Postsecondary teachers
2011,"Farming, fishing, and forestry occupations",775,798,625,427,150,733,"First-line supervisors of farming, fishing, and forestry workers","First-line supervisors of farming, fishing, and forestry workers",Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers"
2011,Food preparation and serving related occupations,3932,5004,2020,3699,1909,3726,Chefs and head cooks,Chefs and head cooks,Total,Service occupations,Food preparation and serving related occupations,Chefs and head cooks
2011,Healthcare practitioners and technical occupations,5726,20973,1429,10883,4297,18266,Chiropractors,Chiropractors,Total,"Management, professional, and related occupations",Professional and related occupations,Chiropractors
2011,Healthcare support occupations,2189,3227,290,502,1901,2542,"Nursing, psychiatric, and home health aides","Nursing, psychiatric, and home health aides",Total,Service occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
2011,"Installation, maintenance, and repair occupations",4160,13979,4013,14043,146,0,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers",Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers"
2011,Legal occupations,1259,5068,582,2768,677,3232,Lawyers,Lawyers,Total,"Management, professional, and related occupations",Professional and related occupations,Lawyers
2011,"Life, physical, and social science occupations",1043,8855,565,5977,480,4391,Agricultural and food scientists,Agricultural and food scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Agricultural and food scientists
2011,Management occupations,10891,26869,6450,25970,4441,14811,Chief executives,Chief executives,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Chief executives
2011,Office and administrative support occupations,13583,22446,3732,10416,9851,17763,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers,Total,Sales and office occupations,Office and administrative support occupations,First-line supervisors of office and administrative support workers
2011,Personal care and service occupations,2124,5570,577,2466,1547,2554,First-line supervisors of gaming workers,First-line supervisors of gaming workers,Total,Service occupations,Personal care and service occupations,First-line supervisors of gaming workers
2011,Production occupations,6987,17224,5174,16363,1812,5234,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers,Total,"Production, transportation, and material moving occupations",Production occupations,First-line supervisors of production and operating workers
2011,Protective service occupations,2797,6970,2289,7192,512,1998,First-line supervisors of correctional officers,First-line supervisors of correctional officers,Total,Service occupations,Protective service occupations,First-line supervisors of correctional officers
2011,Sales and related occupations,9295,11021,5225,11225,4069,7518,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers,Total,Sales and office occupations,Sales and related occupations,First-line supervisors of retail sales workers
2011,Transportation and material moving occupations,6272,8092,5488,7418,785,1903,Supervisors of transportation and material moving workers,Supervisors of transportation and material moving workers,Total,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Supervisors of transportation and material moving workers
2012,Architecture and engineering occupations,2589,16046,2269,16438,318,0,"Architects, except naval","Architects, except naval",Total,"Management, professional, and related occupations",Professional and related occupations,"Architects, except naval"
2012,"Arts, design, entertainment, sports, and media occupations",1439,10185,806,5314,632,2733,Artists and related workers,Artists and related workers,Total,"Management, professional, and related occupations",Professional and related occupations,Artists and related workers
2012,Building and grounds cleaning and maintenance occupations,3430,3223,2275,3393,1156,1308,First-line supervisors of housekeeping and janitorial workers,First-line supervisors of housekeeping and janitorial workers,Total,Service occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers
2012,Business and financial operations occupations,5443,23458,2340,17113,3105,15037,"Agents and business managers of artists, performers, and athletes","Agents and business managers of artists, performers, and athletes",Total,"Management, professional, and related occupations","Management, business, and financial operations occupations","Agents and business managers of artists, performers, and athletes"
2012,Community and social service occupations,1891,4842,715,2648,1178,3775,Counselors,Counselors,Total,"Management, professional, and related occupations",Professional and related occupations,Counselors
2012,Computer and mathematical occupations,3570,16009,2648,14616,923,7757,Computer and information research scientists,Computer and information research scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and information research scientists
2012,Construction and extraction occupations,5103,13667,5003,13652,96,0,First-line supervisors of construction trades and extraction workers,First-line supervisors of construction trades and extraction workers,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,First-line supervisors of construction trades and extraction workers
2012,"Education, training, and library occupations",6452,7920,1766,4954,4687,7555,Postsecondary teachers,Postsecondary teachers,Total,"Management, professional, and related occupations",Professional and related occupations,Postsecondary teachers
2012,"Farming, fishing, and forestry occupations",777,836,611,444,166,746,"First-line supervisors of farming, fishing, and forestry workers","First-line supervisors of farming, fishing, and forestry workers",Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers"
2012,Food preparation and serving related occupations,4163,4990,2189,4047,1975,3616,Chefs and head cooks,Chefs and head cooks,Total,Service occupations,Food preparation and serving related occupations,Chefs and head cooks
2012,Healthcare practitioners and technical occupations,5791,21440,1469,10011,4321,18967,Chiropractors,Chiropractors,Total,"Management, professional, and related occupations",Professional and related occupations,Chiropractors
2012,Healthcare support occupations,2348,2551,290,508,2059,2519,"Nursing, psychiatric, and home health aides","Nursing, psychiatric, and home health aides",Total,Service occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
2012,"Installation, maintenance, and repair occupations",4088,13209,3965,12305,125,0,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers",Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers"
2012,Legal occupations,1316,5233,600,2974,715,3255,Lawyers,Lawyers,Total,"Management, professional, and related occupations",Professional and related occupations,Lawyers
2012,"Life, physical, and social science occupations",1098,8981,630,7625,467,4006,Agricultural and food scientists,Agricultural and food scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Agricultural and food scientists
2012,Management occupations,11547,27109,6782,27379,4763,15265,Chief executives,Chief executives,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Chief executives
2012,Office and administrative support occupations,13598,22934,3734,12018,9862,18929,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers,Total,Sales and office occupations,Office and administrative support occupations,First-line supervisors of office and administrative support workers
2012,Personal care and service occupations,2242,5593,604,2004,1638,3173,First-line supervisors of gaming workers,First-line supervisors of gaming workers,Total,Service occupations,Personal care and service occupations,First-line supervisors of gaming workers
2012,Production occupations,7364,16422,5437,14496,1923,5337,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers,Total,"Production, transportation, and material moving occupations",Production occupations,First-line supervisors of production and operating workers
2012,Protective service occupations,2656,9867,2156,7883,500,1959,First-line supervisors of correctional officers,First-line supervisors of correctional officers,Total,Service occupations,Protective service occupations,First-line supervisors of correctional officers
2012,Sales and related occupations,9434,10750,5427,11650,4004,7574,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers,Total,Sales and office occupations,Sales and related occupations,First-line supervisors of retail sales workers
2012,Transportation and material moving occupations,6415,8899,5571,7946,843,1923,Supervisors of transportation and material moving workers,Supervisors of transportation and material moving workers,Total,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Supervisors of transportation and material moving workers
2013,Architecture and engineering occupations,2539,15521,2207,14245,332,934,"Architects, except naval","Architects, except naval",Total,"Management, professional, and related occupations",Professional and related occupations,"Architects, except naval"
