l1,year,HEAD_COUNT,HEAD_COUNT_MALE,HEAD_COUNT_FEMALE,HEAD_COUNT_UNKNOWN,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women
Management occupations,2015,58,27,31,0,12480,1351,7332,1486,5147,1139
Business and financial operations occupations,2015,40,29,11,0,5942,1137,2686,1327,3256,1004
Computer and mathematical occupations,2015,460,316,144,0,4009,1428,3036,1503,973,1245
Architecture and engineering occupations,2015,872,635,237,0,2656,1424,2272,1452,383,1257
"Life, physical, and social science occupations",2015,2337,967,1370,0,1176,1206,662,1379,514,1067
Community and social service occupations,2015,,,,,2143,889,776,973,1367,845
Legal occupations,2015,,,,,1346,1391,624,1877,722,1135
"Education, training, and library occupations",2015,608,198,410,0,6884,956,1849,1144,5034,907
"Arts, design, entertainment, sports, and media occupations",2015,351,150,201,0,1643,1001,930,1088,713,942
Healthcare practitioners and technical occupations,2015,8,0,8,0,6566,1041,1639,1272,4928,991
Healthcare support occupations,2015,118,6,112,0,2395,498,320,577,2074,490
Protective service occupations,2015,,,,,2729,796,2181,851,547,655
Food preparation and serving related occupations,2015,,,,,4124,441,2133,481,1991,414
Building and grounds cleaning and maintenance occupations,2015,,,,,3605,486,2330,517,1275,419
Personal care and service occupations,2015,,,,,2427,498,664,597,1763,475
Sales and related occupations,2015,,,,,9725,716,5423,880,4303,578
Office and administrative support occupations,2015,360,224,136,0,13894,656,3961,693,9933,646
"Farming, fishing, and forestry occupations",2015,,,,,810,464,637,477,174,437
Construction and extraction occupations,2015,,,,,5722,749,5586,751,137,704
"Installation, maintenance, and repair occupations",2015,,,,,4301,839,4159,842,143,761
Production occupations,2015,,,,,7551,663,5548,729,2003,519
Transportation and material moving occupations,2015,,,,,6953,646,5998,679,955,494
Management occupations,2014,61,24,37,0,11881,1295,6943,1454,4938,1127
Business and financial operations occupations,2014,52,38,14,0,5681,1107,2442,1310,3238,982
Computer and mathematical occupations,2014,520,390,130,0,3879,1368,2900,1435,979,1165
Architecture and engineering occupations,2014,1204,918,286,0,2527,1377,2150,1413,377,1158
"Life, physical, and social science occupations",2014,3153,1370,1783,0,1124,1168,658,1247,466,1062
Community and social service occupations,2014,,,,,2005,858,741,934,1264,824
Legal occupations,2014,,,,,1313,1271,591,1765,722,1001
"Education, training, and library occupations",2014,833,302,531,0,6595,953,1763,1141,4832,897
"Arts, design, entertainment, sports, and media occupations",2014,479,206,273,0,1573,956,906,1024,667,870
Healthcare practitioners and technical occupations,2014,21,2,19,0,6438,1033,1663,1256,4775,983
Healthcare support occupations,2014,128,6,122,0,2368,498,307,560,2060,492
Protective service occupations,2014,,,,,2740,833,2211,886,530,617
Food preparation and serving related occupations,2014,,,,,4017,439,2140,463,1877,419
Building and grounds cleaning and maintenance occupations,2014,,,,,3568,480,2331,517,1236,413
Personal care and service occupations,2014,,,,,2326,487,632,607,1695,455
Sales and related occupations,2014,,,,,9626,705,5411,841,4215,570
Office and administrative support occupations,2014,455,301,154,0,13776,651,3840,701,9936,637
"Farming, fishing, and forestry occupations",2014,,,,,776,429,625,457,151,375
Construction and extraction occupations,2014,,,,,5756,756,5635,757,121,691
"Installation, maintenance, and repair occupations",2014,,,,,4231,821,4085,824,146,725
Production occupations,2014,,,,,7481,646,5546,711,1935,502
Transportation and material moving occupations,2014,,,,,6845,637,5927,664,918,510
Management occupations,2013,59,31,28,0,11501,1285,6764,1456,4737,1103
Business and financial operations occupations,2013,16,10,6,0,5636,1091,2436,1263,3199,979
Computer and mathematical occupations,2013,436,310,126,0,3621,1365,2693,1452,928,1174
Architecture and engineering occupations,2013,1166,860,306,0,2540,1365,2209,1403,330,1143
"Life, physical, and social science occupations",2013,2947,1254,1693,0,1063,1152,608,1271,456,1030
Community and social service occupations,2013,,,,,1913,847,755,930,1158,808
Legal occupations,2013,,,,,1305,1253,598,1764,707,1010
"Education, training, and library occupations",2013,831,284,547,0,6589,937,1808,1091,4782,888
"Arts, design, entertainment, sports, and media occupations",2013,429,212,217,0,1510,988,861,1118,649,884
Healthcare practitioners and technical occupations,2013,17,1,16,0,6142,1048,1558,1312,4585,994
Healthcare support occupations,2013,123,4,119,0,2324,491,304,546,2020,486
Protective service occupations,2013,,,,,2685,783,2172,824,512,643
Food preparation and serving related occupations,2013,,,,,4140,416,2187,437,1953,400
Building and grounds cleaning and maintenance occupations,2013,,,,,3421,475,2279,505,1142,417
Personal care and service occupations,2013,,,,,2482,481,654,549,1829,464
Sales and related occupations,2013,,,,,9376,708,5371,835,4005,566
Office and administrative support occupations,2013,432,276,156,0,13744,638,3741,673,10003,628
"Farming, fishing, and forestry occupations",2013,,,,,720,448,576,472,144,368
Construction and extraction occupations,2013,,,,,5353,732,5242,736,112,654
"Installation, maintenance, and repair occupations",2013,,,,,4268,821,4089,824,179,710
Production occupations,2013,,,,,7307,623,5382,697,1925,498
Transportation and material moving occupations,2013,,,,,6623,619,5707,645,916,497
Management occupations,2012,53,26,27,0,11547,1248,6783,1428,4765,1036
Business and financial operations occupations,2012,5,3,2,0,5443,1058,2339,1274,3105,952
Computer and mathematical occupations,2012,327,253,74,0,3416,1349,2544,1414,872,1146
Architecture and engineering occupations,2012,1196,908,288,0,2588,1337,2269,1358,319,1136
"Life, physical, and social science occupations",2012,2845,1158,1687,0,1098,1134,631,1226,467,1015
Community and social service occupations,2012,,,,,1891,838,714,869,1177,820
Legal occupations,2012,,,,,1315,1328,600,1884,716,1013
"Education, training, and library occupations",2012,779,267,512,0,6454,915,1766,1133,4687,858
"Arts, design, entertainment, sports, and media occupations",2012,421,189,232,0,1440,969,809,1055,631,885
Healthcare practitioners and technical occupations,2012,27,1,26,0,5791,1028,1471,1245,4320,980
Healthcare support occupations,2012,114,8,106,0,2350,482,290,529,2060,477
Protective service occupations,2012,,,,,2655,791,2154,841,500,658
Food preparation and serving related occupations,2012,,,,,4164,410,2189,433,1975,389
Building and grounds cleaning and maintenance occupations,2012,,,,,3430,465,2275,501,1156,407
Personal care and service occupations,2012,,,,,2241,468,603,569,1637,428
Sales and related occupations,2012,,,,,9433,689,5428,838,4005,521
Office and administrative support occupations,2012,392,251,141,0,13683,643,3774,700,9909,629
"Farming, fishing, and forestry occupations",2012,,,,,777,435,611,457,166,377
Construction and extraction occupations,2012,,,,,5102,740,5004,741,98,723
"Installation, maintenance, and repair occupations",2012,,,,,4088,808,3963,809,125,757
Production occupations,2012,,,,,7427,627,5497,695,1930,496
Transportation and material moving occupations,2012,,,,,6415,621,5572,650,843,487
Management occupations,2011,58,26,32,0,10891,1237,6451,1427,4440,1018
Business and financial operations occupations,2011,2,1,1,0,5170,1038,2225,1225,2946,937
Computer and mathematical occupations,2011,315,234,81,0,3296,1305,2509,1369,787,1126
Architecture and engineering occupations,2011,1133,844,289,0,2494,1315,2178,1343,316,1140
"Life, physical, and social science occupations",2011,3008,1259,1749,0,1043,1108,565,1156,479,1038
Community and social service occupations,2011,,,,,1931,813,728,906,1202,772
Legal occupations,2011,,,,,1259,1277,583,1758,676,1003
"Education, training, and library occupations",2011,798,284,514,0,6518,919,1749,1109,4769,869
"Arts, design, entertainment, sports, and media occupations",2011,433,212,221,0,1464,929,850,995,613,856
Healthcare practitioners and technical occupations,2011,15,1,14,0,5725,995,1429,1129,4296,965
Healthcare support occupations,2011,114,10,104,0,2190,487,290,521,1900,483
Protective service occupations,2011,,,,,2798,757,2287,797,511,602
Food preparation and serving related occupations,2011,,,,,3930,409,2021,429,1909,390
Building and grounds cleaning and maintenance occupations,2011,,,,,3339,465,2212,502,1128,406
Personal care and service occupations,2011,,,,,2121,453,578,562,1543,422
Sales and related occupations,2011,,,,,9294,670,5225,804,4069,549
Office and administrative support occupations,2011,363,223,140,0,13695,623,3787,668,9908,615
"Farming, fishing, and forestry occupations",2011,,,,,775,430,625,445,150,371
Construction and extraction occupations,2011,,,,,5031,717,4937,718,95,612
"Installation, maintenance, and repair occupations",2011,,,,,4159,806,4013,807,146,751
Production occupations,2011,,,,,7058,605,5241,667,1817,483
Transportation and material moving occupations,2011,,,,,6275,614,5489,634,786,490
