occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
"Total, full-time wage and salary workers",109080,809,60746,895,48334,726,2015,,,,,
"Management, professional, and related occupations",44844,1158,21807,1383,23038,996,2015,,,,,
"Management, business, and financial operations occupations",18422,1258,10018,1436,8404,1073,2015,,,,,
Management occupations,12480,1351,7332,1486,5147,1139,2015,,,,,
Chief executives,1046,2041,763,2251,283,1836,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Chief executives
General and operations managers,823,1260,621,1347,202,1002,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,General and operations managers
Legislators,8,0,5,0,4,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Legislators
Advertising and promotions managers,55,1050,29,0,26,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Advertising and promotions managers
Marketing and sales managers,948,1462,570,1603,378,1258,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Marketing and sales managers
Public relations and fundraising managers,59,1557,24,0,35,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Public relations and fundraising managers
Administrative services managers,170,1191,96,1451,73,981,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Administrative services managers
Computer and information systems managers,636,1728,466,1817,169,1563,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Computer and information systems managers
Financial managers,1124,1408,551,1732,573,1130,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Financial managers
Compensation and benefits managers,23,0,7,0,16,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Compensation and benefits managers
Human resources managers,254,1365,68,1495,186,1274,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Human resources managers
Training and development managers,37,0,17,0,20,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Training and development managers
Industrial production managers,267,1485,221,1528,45,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Industrial production managers
Purchasing managers,193,1348,109,1404,84,1226,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Purchasing managers
