year,l2,number_of_students_all_sum,number_of_students_men_sum,number_of_students_women_sum,number_of_students_unknown_sum,number_of_workers_all_sum,median_weekly_earnings_all_mean,number_of_workers_men_sum,median_weekly_earnings_men_mean,number_of_workers_women_sum,median_weekly_earnings_women_mean
2011,Building and grounds cleaning and maintenance occupations,0.0,0.0,0.0,0.0,3339,555.1666666666666,2212,591.1666666666666,1129,216.33333333333334
2011,Construction and extraction occupations,0.0,0.0,0.0,0.0,5032,325.475,4937,314.3,94,0.0
2011,"Farming, fishing, and forestry occupations",0.0,0.0,0.0,0.0,775,88.66666666666667,625,47.44444444444444,150,81.44444444444444
2011,Food preparation and serving related occupations,0.0,0.0,0.0,0.0,3932,384.9230769230769,2020,284.53846153846155,1909,286.61538461538464
2011,Healthcare support occupations,113.0,9.0,104.0,0.0,2189,293.3636363636364,290,45.63636363636363,1901,231.0909090909091
2011,"Installation, maintenance, and repair occupations",0.0,0.0,0.0,0.0,4160,377.81081081081084,4013,379.5405405405405,146,0.0
2011,"Management, business, and financial operations occupations",60.0,27.0,33.0,0.0,16061,1786.6690476190477,8673,1474.8095238095239,7385,962.4142857142857
2011,Office and administrative support occupations,362.0,223.0,139.0,0.0,13583,440.11764705882354,3732,204.23529411764707,9851,348.29411764705884
2011,Personal care and service occupations,0.0,0.0,0.0,0.0,2124,278.5,577,123.3,1547,127.7
2011,Production occupations,0.0,0.0,0.0,0.0,6987,215.3,5174,204.5375,1812,65.425
2011,Professional and related occupations,5514.0,2700.0,2814.0,0.0,23917,5404.917014126225,10719,3807.8102510063036,13202,3036.958745348219
2011,Protective service occupations,0.0,0.0,0.0,0.0,2797,387.22222222222223,2289,399.55555555555554,512,111.0
2011,Sales and related occupations,0.0,0.0,0.0,0.0,9295,612.2777777777778,5225,623.6111111111111,4069,417.6666666666667
2011,Transportation and material moving occupations,0.0,0.0,0.0,0.0,6272,224.77777777777777,5488,206.05555555555554,785,52.861111111111114
2012,Building and grounds cleaning and maintenance occupations,0.0,0.0,0.0,0.0,3430,537.1666666666666,2275,565.5,1156,218.0
2012,Construction and extraction occupations,0.0,0.0,0.0,0.0,5103,341.675,5003,341.3,96,0.0
2012,"Farming, fishing, and forestry occupations",0.0,0.0,0.0,0.0,777,92.88888888888889,611,49.333333333333336,166,82.88888888888889
2012,Food preparation and serving related occupations,0.0,0.0,0.0,0.0,4163,383.84615384615387,2189,311.3076923076923,1975,278.15384615384613
2012,Healthcare support occupations,114.0,8.0,106.0,0.0,2348,231.9090909090909,290,46.18181818181818,2059,229.0
2012,"Installation, maintenance, and repair occupations",0.0,0.0,0.0,0.0,4088,357.0,3965,332.56756756756755,125,0.0
2012,"Management, business, and financial operations occupations",58.0,29.0,29.0,0.0,16990,1741.4190476190477,9122,1523.8119047619048,7868,1045.8690476190477
2012,Office and administrative support occupations,391.0,251.0,140.0,0.0,13598,449.6862745098039,3734,235.64705882352942,9862,371.15686274509807
2012,Personal care and service occupations,0.0,0.0,0.0,0.0,2242,279.65,604,100.2,1638,158.65
2012,Production occupations,0.0,0.0,0.0,0.0,7364,205.275,5437,181.2,1923,66.7125
2012,Professional and related occupations,5393.0,2612.0,2781.0,0.0,24146,5619.311000987317,10903,3900.5642971064026,13241,3141.3282163742692
2012,Protective service occupations,0.0,0.0,0.0,0.0,2656,548.1666666666666,2156,437.94444444444446,500,108.83333333333333
2012,Sales and related occupations,0.0,0.0,0.0,0.0,9434,597.2222222222222,5427,647.2222222222222,4004,420.77777777777777
2012,Transportation and material moving occupations,0.0,0.0,0.0,0.0,6415,247.19444444444446,5571,220.72222222222223,843,53.416666666666664
2013,Building and grounds cleaning and maintenance occupations,0.0,0.0,0.0,0.0,3421,559.6666666666666,2279,598.5,1142,222.5
2013,Construction and extraction occupations,0.0,0.0,0.0,0.0,5352,306.2,5241,308.65,112,0.0
2013,"Farming, fishing, and forestry occupations",0.0,0.0,0.0,0.0,719,93.77777777777777,575,49.666666666666664,143,82.33333333333333
2013,Food preparation and serving related occupations,0.0,0.0,0.0,0.0,4139,392.53846153846155,2186,324.0769230769231,1954,320.9230769230769
2013,Healthcare support occupations,123.0,4.0,119.0,0.0,2325,236.72727272727272,304,45.36363636363637,2019,232.45454545454547
2013,"Installation, maintenance, and repair occupations",0.0,0.0,0.0,0.0,4269,409.43243243243245,4086,411.18918918918916,179,0.0
2013,"Management, business, and financial operations occupations",74.0,41.0,33.0,0.0,17137,1857.7738095238096,9197,1503.8690476190477,7937,1127.05
2013,Office and administrative support occupations,431.0,275.0,156.0,0.0,13664,459.54901960784315,3699,182.58823529411765,9965,352.4117647058824
2013,Personal care and service occupations,0.0,0.0,0.0,0.0,2483,307.3,654,94.75,1829,140.95
2013,Production occupations,0.0,0.0,0.0,0.0,7239,200.15,5314,170.7,1919,68.75
2013,Professional and related occupations,5642.0,2785.0,2857.0,0.0,24823,5480.850554994205,11195,4251.774008968403,13631,3121.1057105048526
2013,Protective service occupations,0.0,0.0,0.0,0.0,2685,483.8888888888889,2172,415.6666666666667,513,110.0
2013,Sales and related occupations,0.0,0.0,0.0,0.0,9376,586.8333333333334,5373,624.8888888888889,4005,443.27777777777777
2013,Transportation and material moving occupations,0.0,0.0,0.0,0.0,6623,301.6111111111111,5708,234.55555555555554,916,75.69444444444444
2014,Building and grounds cleaning and maintenance occupations,0.0,0.0,0.0,0.0,3569,554.6666666666666,2332,581.1666666666666,1236,219.16666666666666
2014,Construction and extraction occupations,0.0,0.0,0.0,0.0,5755,366.525,5637,353.95,119,0.0
2014,"Farming, fishing, and forestry occupations",0.0,0.0,0.0,0.0,775,90.0,626,48.55555555555556,151,83.88888888888889
2014,Food preparation and serving related occupations,0.0,0.0,0.0,0.0,4018,412.6923076923077,2139,338.6923076923077,1875,338.61538461538464
2014,Healthcare support occupations,127.0,6.0,121.0,0.0,2368,298.90909090909093,307,48.0,2060,232.63636363636363
2014,"Installation, maintenance, and repair occupations",0.0,0.0,0.0,0.0,4231,363.7567567567568,4085,364.8918918918919,147,0.0
2014,"Management, business, and financial operations occupations",113.0,62.0,51.0,0.0,17561,1775.702380952381,9382,1523.4,8174,1124.709523809524
2014,Office and administrative support occupations,453.0,300.0,153.0,0.0,13703,470.2156862745098,3804,233.31372549019608,9898,358.3921568627451
2014,Personal care and service occupations,0.0,0.0,0.0,0.0,2326,298.35,632,132.75,1694,137.0
2014,Production occupations,0.0,0.0,0.0,0.0,7406,199.375,5473,181.6875,1928,68.7125
2014,Professional and related occupations,6016.0,3036.0,2980.0,0.0,25610,5560.125085358323,11474,3897.8238778765094,14119,3438.7530161041605
2014,Protective service occupations,0.0,0.0,0.0,0.0,2741,507.27777777777777,2211,461.8333333333333,529,108.0
2014,Sales and related occupations,0.0,0.0,0.0,0.0,9626,599.7777777777778,5413,607.7222222222222,4217,435.1111111111111
